ques,skill
294,101
8957,89
4320,18
9889,69
12726,84
6592,32
3403,23
6080,86
5717,34
9588,77
7931,70
13559,58
4615,57
8908,89
9004,26
2438,51
1082,9
7570,64
6555,86
12300,97
12878,74
15528,34
3354,23
5393,58
6728,14
6983,38
14049,70
7941,7
14732,100
14933,90
12651,31
1295,9
2274,64
12494,84
8743,106
9781,98
2131,15
15331,99
15479,34
6110,86
6184,35
8223,107
13572,118
11585,7
4268,70
2267,61
6541,43
2091,64
4641,86
12707,84
272,32
1788,26
4083,24
6540,84
15558,34
15356,48
9726,24
7013,38
268,61
2637,8
8509,60
4877,70
13237,20
7970,11
950,95
11800,53
69,117
688,95
3699,34
5738,106
7906,26
12658,84
1739,26
15113,34
13516,78
13602,118
15509,34
9347,112
13970,19
13560,121
4231,43
7104,18
7142,44
12417,106
11517,115
12737,84
1176,34
1732,23
1818,26
8724,106
9440,47
7387,77
14729,44
12714,100
1690,26
15702,25
9720,101
2433,70
11041,122
7942,70
3250,63
14048,60
4208,32
980,95
4791,87
718,95
11334,115
7936,26
15539,34
10090,48
1769,26
10795,66
14947,122
12531,100
14155,110
6311,8
6617,51
8752,60
8490,60
3201,63
4407,97
5059,23
11542,0
4541,97
5193,23
6258,118
1206,34
9668,32
10568,43
9788,97
7813,77
11721,2
1720,26
1706,91
8428,84
10305,94
11521,62
11917,62
2077,34
11304,64
4754,97
748,95
12223,105
13114,47
1157,34
11080,90
10637,15
5689,82
1671,26
12213,60
174,8
14916,112
3768,2
2472,11
5089,23
7202,44
8900,15
12477,106
14108,87
1236,34
10878,77
11031,90
1750,26
38,120
6502,47
7440,101
11392,69
9358,112
13620,40
2768,9
15318,48
2687,84
13444,43
9371,51
3182,63
5040,23
13562,35
15045,118
5174,23
12051,119
1072,47
6239,118
6762,122
6514,57
4002,61
130,59
5297,93
7391,101
2403,32
4235,40
10985,95
9092,77
8192,86
4515,57
14353,12
5373,88
6612,70
8874,120
14867,4
1116,9
8719,17
13650,40
21,8
12602,114
14393,84
3388,23
10380,106
12689,2
3212,63
7601,32
5070,23
12950,43
14552,77
5204,23
14089,87
15223,16
9087,120
6007,81
6268,122
5327,93
2930,84
6144,86
5882,86
3466,64
1914,110
2511,100
6262,78
13127,120
14784,90
12777,7
8157,105
6756,61
6178,84
2983,95
5278,93
5961,86
3418,23
5157,32
6095,86
13242,43
8913,88
14400,100
3376,26
2980,26
14119,87
9045,15
65,91
6037,81
9366,70
6257,84
3263,85
3901,113
12893,74
5912,86
7684,43
141,86
10361,106
13066,2
10072,3
13754,110
4332,70
12895,120
12673,7
15204,16
1976,62
6324,30
7048,61
1640,113
6604,84
1015,61
5308,93
160,35
12911,64
6125,86
8943,88
5863,86
1634,69
13411,121
14149,87
7244,121
9713,6
14765,90
4283,70
236,30
15678,20
9093,32
9635,86
14480,106
1333,77
1548,2
13666,118
12962,2
5942,86
6580,77
10069,55
8517,101
15234,16
12999,69
7851,48
15368,16
9609,70
5495,40
6018,81
8654,106
11150,94
2647,95
104,32
7451,77
9586,86
12143,84
12941,64
5893,86
8584,47
8188,47
4556,57
12120,100
1925,110
7274,121
13441,121
6985,18
10240,58
10837,48
5708,40
9123,32
6451,84
12356,84
13297,113
14376,106
9403,86
10160,65
15327,99
8924,88
7225,121
10995,112
7533,8
995,95
599,95
8524,117
5585,54
733,95
10095,84
8422,106
5323,54
11039,118
9690,35
14327,106
3449,86
1388,26
340,100
7871,3
12150,100
3848,91
4527,120
7304,121
10532,58
7116,70
2887,53
812,95
11106,64
11233,105
8475,117
5536,54
2000,1
6353,47
12258,47
13901,119
5002,120
7822,3
12101,100
4740,120
13859,122
14019,111
1025,95
629,95
166,105
7172,86
3581,97
3696,84
6432,47
9104,32
9384,86
10578,66
108,100
4034,79
1637,70
1730,32
2817,115
5104,23
580,95
4787,87
3909,84
714,95
4625,25
4707,64
14308,69
1617,91
13449,79
1369,26
8301,58
8771,7
5777,8
8039,58
1924,19
2521,9
4123,43
1927,24
4007,97
11013,78
1068,34
12066,119
1202,34
14562,107
14837,46
15434,36
11265,70
9331,51
2003,19
387,50
2063,70
15277,52
13799,84
8606,61
9215,105
13840,122
5134,23
610,95
469,119
11883,119
9467,97
6198,122
11184,118
12521,110
380,47
11082,70
5411,8
9263,38
4686,18
402,65
12812,30
11219,75
10159,95
3495,43
11117,64
420,119
1232,34
6612,112
2668,5
13348,40
5598,19
13072,105
7401,43
8636,61
14205,75
13190,97
15721,106
8116,25
4365,47
7183,86
7579,86
13324,97
6624,122
12028,69
4208,100
6040,71
6563,112
12905,113
1549,91
10126,39
9312,51
1984,19
15258,52
13023,105
6741,118
13780,84
2379,23
3425,105
2599,26
450,119
4316,47
3301,69
11864,119
12126,119
12301,120
945,61
13997,18
8782,7
11440,20
2458,23
11200,75
11893,2
4395,47
12320,69
12581,110
13092,97
7985,77
2314,15
5869,81
12192,69
12801,113
3527,8
15640,9
896,61
10321,106
12764,2
2891,26
10931,35
13171,97
480,119
4346,47
9728,6
14626,81
2711,95
135,84
88,9
5778,84
7782,98
6359,66
10084,55
7338,121
2842,26
12544,120
4297,47
12222,69
14577,81
15274,9
14596,94
664,61
4938,43
10191,117
8809,86
15452,52
7983,44
14478,75
13492,44
7155,121
28,79
7289,121
9670,122
10663,112
12039,69
14656,81
10657,38
13976,93
2575,32
8888,86
2754,34
8626,86
13309,44
4591,120
5370,87
241,79
3851,81
10012,7
10917,113
13267,47
7978,50
10700,115
12353,121
14607,81
37,20
12411,62
15176,9
1277,116
6277,10
14422,35
12784,78
4986,97
9991,69
7319,121
6997,70
7721,101
12580,19
6298,69
11169,41
12277,18
13751,107
14163,40
10907,41
14066,107
2605,32
14140,93
14897,35
4542,56
4561,69
4098,79
4621,120
14956,90
9808,69
11962,91
5157,100
7270,121
12397,19
1318,9
2920,43
3443,84
14637,81
1101,11
6791,86
13871,53
5368,54
8246,107
7883,55
11675,34
8607,86
13755,107
4049,79
2478,112
4572,120
7349,121
3510,30
1710,11
6462,32
10681,115
8325,107
13834,107
3151,97
7540,66
9720,77
5606,47
9376,38
9835,64
12650,91
14986,90
9838,69
9248,38
9972,69
13260,20
3805,69
6978,70
1348,9
11730,91
3065,30
2487,53
12561,19
4727,115
3722,34
6821,86
8276,107
8873,97
4523,56
6732,14
11347,60
14005,110
3738,15
4079,79
4602,120
7945,7
8017,112
11085,60
10023,7
14056,112
14937,90
6855,84
1299,9
14532,41
9188,108
3599,85
4752,64
7570,66
5509,6
13957,69
9144,38
15016,90
5030,8
2325,112
12022,91
10002,69
1378,9
6545,43
13436,74
15562,34
2274,66
7623,77
8306,107
12568,35
5768,122
9513,26
8035,58
3988,18
11249,60
13952,112
7121,95
12647,35
6802,86
13722,64
2748,107
7096,38
13606,118
11094,122
2068,82
13389,120
14134,8
2489,112
13320,20
2167,61
1804,9
12480,43
12607,84
11566,117
9632,98
15592,34
1822,26
9444,47
7391,77
12584,100
9590,101
13979,70
724,50
10944,70
14012,18
11045,122
14231,62
6292,105
10538,25
