ques,diff
0,3
1,4
2,5
3,5
4,7
5,6
6,8
7,9
8,8
9,5
10,5
11,5
12,5
13,10
14,6
15,6
16,5
17,5
18,6
19,5
20,6
21,6
22,5
23,5
24,6
25,5
26,5
27,5
28,6
29,8
30,7
31,9
32,7
33,7
34,8
35,6
36,10
37,6
38,4
39,8
40,6
41,6
42,10
43,7
44,8
45,7
46,8
47,8
48,8
49,7
50,7
51,4
52,8
53,5
54,6
55,5
56,4
57,5
58,7
59,7
60,7
61,3
62,7
63,6
64,8
65,9
66,5
67,6
68,6
69,6
70,6
71,6
72,5
73,10
74,8
75,9
76,6
77,7
78,8
79,7
80,4
81,3
82,8
83,6
84,7
85,7
86,8
87,3
88,6
89,7
90,8
91,6
92,5
93,5
94,4
95,10
96,6
97,9
98,8
99,6
100,5
101,5
102,10
103,9
104,8
105,8
106,5
107,9
108,7
109,8
110,8
111,10
112,7
113,6
114,8
115,9
116,7
117,6
118,8
119,6
120,8
121,9
122,7
123,7
124,5
125,8
126,7
127,6
128,7
129,1
130,1
131,7
132,5
133,5
134,5
135,10
136,7
137,5
138,6
139,5
140,5
141,7
142,9
143,8
144,5
145,8
146,6
147,4
148,7
149,6
150,6
151,5
152,2
153,7
154,2
155,4
156,8
157,10
158,8
159,5
160,4
161,5
162,8
163,2
164,8
165,8
166,1
167,8
168,8
169,8
170,10
171,5
172,9
173,9
174,5
175,6
176,5
177,7
178,7
179,9
180,6
181,7
182,6
183,5
184,7
185,7
186,9
187,6
188,5
189,5
190,7
191,10
192,5
193,6
194,5
195,7
196,7
197,10
198,9
199,8
200,8
201,6
202,9
203,5
204,8
205,4
206,8
207,9
208,10
209,4
210,10
211,8
212,7
213,7
214,4
215,3
216,7
217,6
218,6
219,7
220,6
221,8
222,6
223,5
224,8
225,5
226,8
227,5
228,4
229,5
230,9
231,8
232,10
233,3
234,7
235,0
236,9
237,7
238,8
239,5
240,6
241,10
242,6
243,7
244,7
245,6
246,4
247,5
248,4
249,6
250,7
251,7
252,5
253,5
254,7
255,10
256,9
257,7
258,8
259,8
260,10
261,7
262,5
263,7
264,6
265,8
266,9
267,8
268,9
269,10
270,8
271,7
272,9
273,9
274,8
275,7
276,10
277,8
278,7
279,8
280,5
281,6
282,5
283,5
284,5
285,0
286,5
287,5
288,6
289,5
290,4
291,8
292,4
293,10
294,7
295,8
296,10
297,4
298,3
299,7
300,10
301,5
302,10
303,2
304,8
305,7
306,10
307,7
308,10
309,8
310,5
311,10
312,8
313,5
314,8
315,5
316,5
317,5
318,5
319,4
320,6
321,6
322,5
323,8
324,7
325,6
326,5
327,4
328,5
329,5
330,4
331,8
332,5
333,7
334,5
335,4
336,5
337,8
338,6
339,8
340,7
341,8
342,7
343,9
344,9
345,7
346,8
347,8
348,8
349,10
350,1
351,8
352,8
353,10
354,6
355,10
356,6
357,8
358,8
359,10
360,8
361,5
362,8
363,6
364,3
365,7
366,3
367,3
368,8
369,7
370,7
371,5
372,2
373,7
374,8
375,9
376,5
377,5
378,5
379,0
380,6
381,1
382,5
383,8
384,7
385,5
386,7
387,5
388,6
389,8
390,6
391,7
392,10
393,8
394,8
395,3
396,10
397,5
398,10
399,9
400,10
401,10
402,8
403,10
404,0
405,10
406,6
407,10
408,6
409,10
410,10
411,10
412,7
413,10
414,8
415,5
416,6
417,10
418,4
419,6
420,7
421,6
422,5
423,8
424,10
425,7
426,5
427,7
428,10
429,10
430,9
431,8
432,10
433,5
434,8
435,7
436,5
437,10
438,5
439,6
440,5
441,0
442,4
443,5
444,3
445,8
446,5
447,6
448,8
449,6
450,5
451,6
452,8
453,5
454,8
455,10
456,5
457,7
458,0
459,7
460,5
461,5
462,6
463,10
464,3
465,10
466,6
467,8
468,9
469,9
470,8
471,6
472,8
473,8
474,6
475,8
476,4
477,8
478,8
479,6
480,3
481,6
482,3
483,10
484,8
485,10
486,10
487,5
488,8
489,10
490,5
491,7
492,7
493,8
494,8
495,8
496,9
497,5
498,4
499,10
500,0
501,5
502,4
503,6
504,6
505,7
506,8
507,5
508,9
509,6
510,7
511,6
512,6
513,8
514,5
515,7
516,6
517,8
518,9
519,9
520,8
521,9
522,8
523,9
524,5
525,8
526,7
527,7
528,6
529,5
530,6
531,7
532,5
533,6
534,9
535,5
536,8
537,8
538,6
539,8
540,8
541,8
542,8
543,9
544,7
545,9
546,8
547,10
548,8
549,7
550,8
551,8
552,6
553,8
554,6
555,7
556,6
557,7
558,6
559,9
560,8
561,6
562,6
563,8
564,10
565,10
566,8
567,10
568,8
569,10
570,10
571,8
572,5
573,5
574,7
575,8
576,7
577,4
578,8
579,7
580,4
581,8
582,8
583,8
584,9
585,7
586,9
587,9
588,8
589,8
590,9
591,3
592,5
593,10
594,10
595,8
596,10
597,8
598,6
599,8
600,6
601,8
602,6
603,7
604,5
605,7
606,5
607,8
608,10
609,8
610,8
611,4
612,10
613,10
614,8
615,7
616,8
617,10
618,8
619,5
620,3
621,9
622,10
623,8
624,8
625,4
626,6
627,5
628,6
629,5
630,7
631,5
632,5
633,9
634,8
635,8
636,7
637,3
638,7
639,9
640,6
641,8
642,6
643,6
644,7
645,4
646,6
647,5
648,6
649,9
650,8
651,6
652,10
653,6
654,6
655,8
656,3
657,5
658,8
659,8
660,8
661,4
662,5
663,8
664,8
665,9
666,10
667,7
668,10
669,8
670,6
671,5
672,8
673,10
674,6
675,7
676,7
677,9
678,6
679,7
680,6
681,6
682,10
683,10
684,8
685,10
686,9
687,5
688,10
689,7
690,7
691,7
692,6
693,6
694,9
695,5
696,10
697,5
698,10
699,8
700,10
701,6
702,6
703,5
704,7
705,10
706,8
707,6
708,7
709,5
710,5
711,8
712,2
713,9
714,8
715,8
716,8
717,10
718,5
719,7
720,10
721,6
722,6
723,4
724,7
725,0
726,10
727,10
728,9
729,8
730,10
731,6
732,7
733,10
734,10
735,5
736,7
737,10
738,10
739,10
740,9
741,5
742,5
743,10
744,8
745,8
746,7
747,5
748,8
749,6
750,5
751,6
752,7
753,7
754,6
755,6
756,8
757,7
758,7
759,5
760,7
761,6
762,6
763,8
764,9
765,7
766,6
767,5
768,5
769,7
770,4
771,9
772,4
773,6
774,8
775,5
776,7
777,5
778,8
779,7
780,9
781,6
782,7
783,4
784,8
785,7
786,6
787,7
788,7
789,8
790,6
791,8
792,6
793,8
794,4
795,6
796,5
797,6
798,5
799,6
800,5
801,5
802,6
803,6
804,9
805,6
806,7
807,8
808,8
809,7
810,7
811,10
812,7
813,9
814,8
815,5
816,8
817,8
818,8
819,9
820,8
821,7
822,5
823,7
824,7
825,10
826,8
827,8
828,6
829,6
830,8
831,10
832,8
833,5
834,6
835,7
836,8
837,7
838,8
839,9
840,5
841,6
842,10
843,10
844,5
845,10
846,5
847,7
848,6
849,10
850,3
851,5
852,7
853,10
854,8
855,8
856,8
857,7
858,5
859,6
860,10
861,8
862,5
863,6
864,7
865,8
866,10
867,5
868,10
869,8
870,5
871,7
872,7
873,5
874,7
875,6
876,10
877,10
878,6
879,3
880,10
881,5
882,10
883,4
884,6
885,7
886,5
887,8
888,7
889,7
890,8
891,7
892,10
893,10
894,7
895,10
896,10
897,5
898,7
899,6
900,7
901,4
902,9
903,10
904,6
905,8
906,6
907,6
908,5
909,7
910,8
911,6
912,5
913,3
914,7
915,0
916,10
917,7
918,10
919,10
920,10
921,10
922,9
923,9
924,9
925,10
926,6
927,5
928,7
929,8
930,8
931,7
932,7
933,7
934,2
935,7
936,6
937,10
938,5
939,8
940,9
941,5
942,10
943,5
944,8
945,6
946,10
947,9
948,10
949,10
950,10
951,8
952,8
953,8
954,10
955,7
956,5
957,9
958,9
959,7
960,10
961,10
962,8
963,6
964,8
965,8
966,8
967,8
968,6
969,6
970,6
971,10
