ques,disc
0,0
1,0
2,0
3,0
4,1
5,0
6,2
7,3
8,2
9,0
10,0
11,0
12,0
13,3
14,1
15,0
16,2
17,0
18,1
19,0
20,0
21,0
22,0
23,0
24,3
25,0
26,0
27,0
28,2
29,2
30,1
31,3
32,3
33,3
34,2
35,0
36,3
37,0
38,0
39,2
40,1
41,0
42,3
43,1
44,2
45,1
46,3
47,2
48,2
49,0
50,2
51,0
52,1
53,0
54,0
55,0
56,0
57,3
58,1
59,1
60,1
61,0
62,1
63,0
64,2
65,3
66,0
67,0
68,2
69,3
70,1
71,0
72,3
73,3
74,2
75,3
76,0
77,0
78,2
79,1
80,3
81,2
82,2
83,0
84,3
85,1
86,3
87,2
88,0
89,0
90,2
91,0
92,0
93,3
94,2
95,0
96,1
97,0
98,2
99,0
100,0
101,0
102,0
103,1
104,0
105,0
106,0
107,3
108,0
109,0
110,2
111,0
112,0
113,0
114,1
115,3
116,0
117,0
118,2
119,0
120,2
121,3
122,2
123,1
124,3
125,2
126,1
127,0
128,0
129,0
130,0
131,1
132,0
133,3
134,0
135,3
136,1
137,0
138,3
139,3
140,0
141,3
142,3
143,2
144,0
145,2
146,3
147,0
148,1
149,0
150,0
151,0
152,0
153,2
154,0
155,0
156,3
157,3
158,3
159,0
160,0
161,0
162,2
163,0
164,2
165,2
166,0
167,2
168,3
169,2
170,3
171,0
172,3
173,3
174,0
175,0
176,0
177,0
178,3
179,3
180,0
181,1
182,3
183,0
184,1
185,2
186,3
187,0
188,0
189,0
190,1
191,3
192,0
193,0
194,0
195,2
196,1
197,3
198,3
199,2
200,2
201,0
202,3
203,3
204,2
205,2
206,2
207,3
208,3
209,0
210,3
211,3
212,3
213,1
214,0
215,0
216,1
217,1
218,0
219,2
220,0
221,0
222,1
223,0
224,2
225,0
226,2
227,0
228,0
229,0
230,0
231,2
232,3
233,0
234,1
235,0
236,3
237,2
238,2
239,0
240,0
241,3
242,0
243,1
244,1
245,0
246,0
247,0
248,0
249,0
250,1
251,1
252,0
253,0
254,1
255,3
256,3
257,1
258,3
259,3
260,3
261,1
262,0
263,1
264,0
265,2
266,3
267,2
268,3
269,3
270,2
271,0
272,3
273,2
274,3
275,1
276,3
277,2
278,1
279,2
280,0
281,0
282,0
283,0
284,0
285,0
286,0
287,0
288,1
289,0
290,0
291,2
292,2
293,3
294,1
295,2
296,3
297,0
298,0
299,3
300,3
301,0
302,3
303,0
304,2
305,1
306,3
307,1
308,3
309,2
310,0
311,3
312,3
313,1
314,2
315,0
316,0
317,0
318,0
319,0
320,3
321,1
322,0
323,2
324,1
325,3
326,3
327,0
328,3
329,1
330,0
331,2
332,0
333,1
334,0
335,0
336,2
337,2
338,0
339,2
340,1
341,2
342,2
343,1
344,0
345,3
346,2
347,2
348,2
349,3
350,0
351,2
352,2
353,3
354,0
355,3
356,0
357,2
358,2
359,3
360,2
361,0
362,2
363,0
364,0
365,1
366,0
367,0
368,2
369,2
370,1
371,0
372,0
373,3
374,2
375,3
376,0
377,0
378,0
379,0
380,0
381,0
382,0
383,2
384,0
385,0
386,1
387,0
388,0
389,3
390,2
391,1
392,3
393,2
394,3
395,0
396,3
397,0
398,3
399,3
400,3
401,3
402,2
403,3
404,0
405,3
406,2
407,3
408,0
409,3
410,3
411,3
412,1
413,3
414,3
415,0
416,0
417,3
418,0
419,0
420,1
421,0
422,0
423,2
424,3
425,1
426,0
427,2
428,3
429,3
430,3
431,2
432,3
433,0
434,2
435,1
436,0
437,3
438,0
439,3
440,0
441,0
442,0
443,0
444,0
445,3
446,0
447,0
448,3
449,0
450,0
451,0
452,2
453,0
454,0
455,3
456,0
457,1
458,0
459,0
460,0
461,0
462,0
463,3
464,0
465,3
466,0
467,2
468,3
469,3
470,3
471,0
472,2
473,2
474,1
475,2
476,0
477,3
478,2
479,0
480,0
481,1
482,0
483,3
484,2
485,3
486,3
487,0
488,0
489,0
490,0
491,1
492,3
493,2
494,3
495,2
496,3
497,0
498,0
499,3
500,0
501,0
502,3
503,0
504,1
505,2
506,2
507,0
508,3
509,0
510,1
511,0
512,0
513,2
514,2
515,1
516,1
517,3
518,2
519,3
520,0
521,3
522,2
523,0
524,0
525,2
526,1
527,1
528,0
529,3
530,0
531,0
