ques,skill
14843,39
2033,110
4402,57
9829,18
7124,122
10715,111
4655,8
10486,59
11747,29
12346,92
4875,11
6573,19
291,32
3579,20
9442,23
2126,45
2904,110
14621,111
562,37
4877,57
8487,59
10345,19
5620,101
11264,60
15056,39
7471,122
13880,113
6189,29
14100,116
15308,31
7892,115
1161,73
13530,0
13998,105
641,37
5508,45
12836,77
8230,110
6922,28
15007,39
12376,92
13570,72
9019,41
14891,93
180,93
59,32
12351,35
4004,24
592,37
4907,57
7496,7
2047,21
6221,102
13125,72
13607,75
4259,21
11573,118
2519,16
12866,77
7632,16
8537,122
7811,18
14440,49
11126,72
15171,39
8407,49
1561,20
6332,54
6096,43
5141,116
7887,13
504,45
2202,16
2336,16
622,37
7924,80
8547,59
2440,73
5250,22
6411,54
14308,14
2618,116
1517,98
7107,23
2456,54
10617,87
13940,56
14780,9
8424,73
13732,83
1591,20
14939,2
12212,118
1133,108
8937,106
11554,118
3904,35
11774,121
2500,16
12646,50
9726,37
12288,113
7577,93
7792,18
2470,73
8356,60
7315,93
4797,23
6313,54
13539,75
12961,98
2419,27
11987,121
3484,122
13558,88
6376,110
6973,100
7234,104
7468,42
10360,30
7132,93
10957,20
11320,72
12514,52
6392,54
15093,39
3417,68
5626,26
2398,89
15612,108
1498,98
4390,49
1933,26
2530,16
7313,104
6413,113
174,8
205,112
7084,52
7607,93
7185,104
8386,60
7419,42
9145,112
11137,72
10908,20
6343,54
135,16
9221,107
11797,118
5487,69
7003,100
3990,51
8312,30
7264,104
8962,112
12627,50
5915,21
211,11
12269,113
2451,73
13585,19
13664,83
1193,108
13999,36
15642,108
4778,23
6762,122
2266,27
10647,100
12285,57
5975,8
8451,81
8974,122
6558,63
223,21
2303,94
5732,21
7215,104
9175,112
9973,92
11981,60
2798,73
12100,11
2999,63
8830,77
12201,63
13379,35
14950,2
12498,57
15593,108
13477,112
10142,49
14275,92
3015,7
3397,72
3452,8
21,8
7294,104
8342,30
8080,30
7166,104
361,76
7400,42
10700,47
13592,35
15672,108
6792,122
14364,26
6503,19
10195,60
10093,49
3288,21
4353,116
5762,21
11988,76
11972,68
15623,108
6743,122
13245,112
1091,73
11586,32
8432,81
14062,105
3459,24
4496,57
8885,26
10253,122
12581,68
5454,26
10225,60
14614,29
11023,40
10123,49
6446,20
8323,30
9402,23
12571,23
13180,104
15703,10
6636,117
10320,68
461,27
15411,80
13358,110
4447,57
4896,112
8922,29
6773,122
5854,81
3734,121
6511,122
10176,60
15107,83
4871,55
14482,31
2240,108
3843,27
8841,77
9116,16
12074,92
9732,19
12987,59
10752,112
1953,51
2569,54
6958,23
13441,0
7455,75
15259,73
4426,55
4841,68
653,89
5419,45
14403,88
13825,111
5322,112
4477,57
7576,72
8154,49
449,30
10630,122
6951,20
10206,60
13360,11
3957,21
13797,49
15734,73
1890,116
7272,75
6427,20
8667,45
11881,84
12960,77
11476,35
8367,49
12500,92
6825,29
2541,113
4151,8
7351,75
12829,8
13605,0
1841,116
11497,94
1772,16
1959,108
6863,28
12809,29
3951,68
4025,17
2358,113
11257,112
13566,8
10236,60
14806,104
76,54
6141,43
222,108
1920,116
2550,54
7302,75
9255,107
13625,63
15502,73
2926,45
14937,35
8399,122
1723,16
3889,92
15157,38
7612,8
8773,40
8933,29
11423,0
10729,77
1871,116
7253,75
8648,45
12941,77
3882,89
13519,17
7693,81
11122,8
10007,92
2679,60
12839,29
10805,72
8348,49
2618,50
14354,64
3361,94
6690,83
7332,75
4574,87
13292,11
3815,35
12056,34
1753,16
1357,16
10638,80
6441,52
10830,21
15345,82
1595,73
4928,63
3312,94
7283,75
9236,107
14162,15
2591,68
8678,45
2907,45
813,37
8119,81
2690,47
10037,92
1704,16
12642,50
6702,29
7640,83
8132,20
14037,20
7975,73
3787,94
12727,94
9210,54
10531,75
3162,5
15657,108
2986,45
3583,35
6541,111
9474,100
13896,17
1783,16
2306,20
9212,100
9988,92
12820,29
147,68
14192,15
4214,23
3113,5
3796,35
12299,34
843,37
5936,122
977,37
4599,93
2257,20
13033,29
2391,20
9939,92
6670,117
14810,64
11012,11
938,45
3192,5
6265,68
7600,24
9606,111
11232,14
6015,122
15687,108
11617,121
794,37
5887,122
8719,59
276,111
4987,94
5362,8
6207,63
10018,92
10816,72
12824,40
13044,43
5683,63
6621,117
2648,63
4346,34
14365,64
9191,54
14508,113
14222,15
3143,5
12625,59
9516,110
8798,59
2287,20
52,73
3582,52
14518,13
11323,24
968,45
3659,6
5290,24
13160,110
9101,16
13375,35
12442,59
14409,26
8966,57
12285,112
5917,122
8749,59
3534,11
5017,94
14048,20
4411,55
5190,22
6651,117
4772,34
7967,23
1181,45
3872,6
13074,43
919,45
3173,5
9823,122
7985,77
2751,16
12655,59
5984,68
13192,35
12498,112
5096,94
4968,94
8939,75
2194,98
14467,88
9640,122
3124,5
5526,92
12606,59
6962,100
14920,70
5047,94
9073,11
2072,108
5220,22
7770,44
11708,77
1749,98
3043,16
4399,58
8733,91
9848,7
2781,16
12965,113
15133,70
15377,49
15711,10
1905,116
4998,94
14750,9
15512,66
8666,37
4478,58
4089,17
8404,37
11081,100
2237,37
7490,111
9543,81
3591,6
8899,16
9422,20
11098,40
11181,38
12636,59
12770,59
12782,113
8480,32
3296,88
4471,55
4949,94
12134,77
14448,88
12877,121
8763,91
10375,59
6261,29
3675,121
9112,16
8575,40
12453,59
3454,122
3762,9
8559,32
11792,84
2948,21
2807,45
14378,29
12691,116
9229,12
4422,55
15542,66
7751,44
9890,17
4683,59
11689,77
7520,111
3246,92
8714,91
1312,73
6358,83
10769,107
13501,106
7830,44
1421,16
8647,37
763,16
9767,68
10405,59
10928,100
13996,48
15336,82
9665,20
4257,72
9780,7
1841,50
1263,73
4477,112
6626,19
10666,100
10759,62
10960,52
14059,104
11937,34
10197,77
4452,55
5613,87
1372,16
4149,17
1444,121
4176,120
5706,49
7652,122
11201,114
1738,73
1342,73
6705,19
7128,122
10461,112
10576,62
6126,83
273,44
1916,116
8540,32
9781,87
13614,104
694,37
2130,45
15523,66
3751,92
15060,39
5127,49
8200,112
5624,101
5657,49
6321,29
9053,28
9810,7
1871,50
3024,29
3406,94
9433,20
527,45
425,34
511,37
2987,110
3202,35
645,37
5296,6
9355,100
11784,98
13045,68
15139,39
7549,7
2742,50
3702,92
10259,18
10823,60
9004,28
2700,53
6607,19
1244,73
6156,83
15435,74
4229,23
13938,56
11918,34
724,37
858,37
8783,59
2019,69
4273,29
1219,16
9025,87
7633,122
13538,122
15090,39
6485,29
10819,62
14952,105
10920,114
1457,73
10631,11
9421,23
937,37
14785,9
675,37
5768,122
8600,59
8734,59
7815,18
13149,17
14632,100
5504,49
14389,113
12207,29
15347,82
476,93
7952,23
10770,62
99,106
1274,73
6582,83
14347,116
508,45
888,37
2586,8
2968,110
4699,29
626,37
5786,112
8813,59
11443,47
14456,59
4583,83
10106,18
12742,43
4717,83
14858,39
1809,87
3526,108
587,45
7873,80
705,37
5798,122
3382,100
8764,59
2919,110
11904,112
12919,90
6986,28
12339,40
7982,23
1003,108
2498,16
4129,34
7921,13
6892,100
12315,97
4068,24
7026,100
12334,110
656,37
1690,28
14090,59
7796,18
14370,113
10691,11
1417,98
999,110
5443,15
1852,26
12413,110
3046,6
7903,80
5828,122
13882,29
8794,59
8532,59
15101,39
5235,22
6396,54
11864,53
11723,77
11850,118
6690,43
1979,23
3421,68
568,45
2662,16
191,58
2796,16
10867,92
5779,122
8611,59
10242,40
10906,20
209,112
7826,18
12188,113
13120,93
13437,29
8643,11
13717,83
13822,106
5373,77
7030,47
2479,16
3076,6
3780,122
12517,59
519,8
9490,112
12880,111
183,59
5491,69
13912,29
14710,9
2574,24
1063,108
2009,23
3597,122
1833,26
10355,38
336,8
5809,122
15506,101
4386,53
13747,83
13169,106
3893,120
1477,98
2148,37
7401,111
6000,67
4407,112
1905,50
7992,27
2844,6
9453,122
3460,9
755,113
11908,72
13861,104
14296,32
11283,20
12303,113
13698,83
7449,44
4703,110
10979,23
12173,3
10420,59
3057,6
6111,19
9418,20
6190,83
13893,29
123,21
12396,11
14691,9
6229,11
13777,83
5986,24
9274,12
4916,110
11600,77
199,16
1178,108
3432,68
4332,59
4533,49
12678,111
9483,122
10336,38
10878,92
11590,32
5602,34
7479,44
5445,87
7088,122
2129,37
4209,110
150,16
5458,26
169,29
3961,8
5678,29
8001,89
11845,29
10609,52
14558,15
3367,23
7541,104
2367,94
6278,24
7279,104
9406,23
111,24
2224,45
15438,64
9686,77
15498,78
7430,7
4758,59
8913,90
652,119
10685,47
6153,29
13362,110
6354,19
6777,122
13279,112
7358,104
11620,32
104,21
11766,86
4875,55
8827,23
14352,31
2175,45
282,27
8845,77
10898,47
4239,110
12078,92
9695,18
14984,15
12513,20
1916,50
4010,21
5708,29
2397,94
9436,23
4871,57
9334,12
7460,7
15445,80
8158,49
10472,60
16,29
6807,122
6955,20
4424,11
6022,81
6122,19
14369,92
15783,75
4368,116
4748,108
4426,57
4109,121
10451,122
10551,60
2545,113
11349,40
6134,29
11046,39
12108,92
13168,72
13343,110
14873,39
13177,77
6210,24
13436,8
7610,72
409,81
14891,29
14412,31
4632,17
6946,28
2061,121
15165,39
8241,60
3824,29
13125,8
3942,21
4028,24
11209,43
2709,49
13889,111
9775,81
11506,0
4527,122
2526,113
9747,19
4021,21
2746,116
11865,118
7336,75
4722,68
11802,35
13736,17
12922,29
14030,6
272,89
4319,92
8271,60
365,51
11108,112
13056,29
13653,19
7591,72
11457,0
3007,93
9234,107
13496,72
9368,107
4932,63
14032,52
6126,43
11621,108
5513,45
12237,111
8646,122
2694,47
4874,58
10041,92
12873,29
2732,73
