ques,template
2374,174
2916,228
8929,256
12305,91
7800,405
7437,353
14421,575
9475,429
10903,347
14461,159
14414,572
15140,447
11745,104
143,53
13412,533
9969,442
10514,242
5514,119
15013,608
9815,204
12148,494
203,40
1242,146
15344,627
15297,552
2177,131
11263,222
15570,152
1318,141
15611,153
7636,310
215,50
1376,82
2207,10
1238,148
2327,75
12960,493
9999,442
1223,25
469,51
15546,145
207,51
7868,0
12333,516
4953,294
22,5
5132,296
168,59
242,45
5173,297
7666,310
3863,142
8612,417
1265,143
7230,386
2968,229
6416,169
2384,178
14318,473
10904,117
3146,235
12929,254
6795,202
5036,184
13173,385
1619,82
14702,584
12217,462
12941,493
7184,391
8299,78
4930,202
5420,295
8700,422
5203,297
10263,205
15540,636
9905,268
7260,386
4440,274
4032,220
5474,302
7439,388
9173,53
8734,420
14739,587
14656,589
1211,149
5344,192
5471,233
10402,256
13769,537
15622,153
13937,84
9861,346
11392,177
3109,181
4812,267
15772,97
8843,299
3127,235
15656,151
11454,8
13302,512
15366,577
8764,420
12119,398
15426,628
8750,256
2289,75
3731,120
12647,288
2564,14
11578,488
313,59
7343,397
8623,417
7241,386
4421,274
4858,275
9154,53
14156,545
8715,420
5573,257
5339,90
3157,235
10036,175
11615,491
9075,174
5911,252
15472,636
4656,33
5795,306
3508,169
6452,347
11975,245
6271,6
13408,507
14256,79
11649,489
14462,184
12750,278
13366,510
623,76
7593,400
4687,285
14329,557
14766,595
14852,598
903,130
4189,274
1324,160
5980,244
8905,372
12463,184
14837,475
6783,302
8302,79
1287,12
7283,396
9380,113
15175,470
10436,159
11957,497
2060,164
2712,90
7621,391
11855,486
3460,249
6877,122
9291,300
9313,59
4318,280
10531,396
11596,491
13313,512
5732,263
8987,303
4873,273
2645,36
1967,158
4799,58
9895,414
10225,60
6252,6
10249,417
3554,69
7852,408
6570,315
4987,294
706,124
13347,510
7574,400
2756,25
1976,62
3445,247
157,30
9207,427
9455,300
6387,315
5762,263
6667,369
15106,612
7988,161
8934,268
5632,153
13710,454
1578,174
11877,487
14921,603
13498,534
15619,645
4905,53
8427,208
1347,12
4717,2
9378,430
13456,537
2554,160
13982,95
13514,515
7397,70
8395,404
9589,384
4771,238
5368,228
12474,184
6469,17
14826,450
13962,116
11207,399
11107,461
164,46
5188,297
10408,423
12588,434
15050,609
14406,278
2723,90
6467,321
11068,469
1682,123
8077,216
5088,295
3792,75
5657,223
10024,433
7957,299
3535,153
7726,403
10761,174
8020,355
1411,10
11239,472
7904,409
13520,535
3656,150
5039,295
2200,170
9602,151
5218,297
14497,517
8118,109
2934,165
14174,278
14683,384
10657,238
13920,455
3957,263
12176,503
7652,309
4278,89
12437,278
13691,538
10389,423
15353,623
11798,291
10920,59
5617,164
11407,177
12747,440
15359,145
10746,431
12719,378
5513,43
2103,129
5069,295
15327,570
5248,297
13866,246
11125,464
5583,287
13687,540
11185,478
11749,291
2905,228
8915,281
2294,74
9746,438
15466,621
9924,444
1906,194
3766,35
5020,295
1080,152
14005,297
9956,433
8237,302
1635,145
3916,208
14224,112
3935,221
8613,64
3938,263
3979,264
605,44
5099,295
13067,492
12542,48
14149,463
7633,309
4534,257
8538,415
10231,79
13672,538
9451,382
12448,386
1672,148
2181,25
14519,410
12540,389
10465,431
14035,297
4123,164
12631,278
2694,58
2886,228
5892,52
