skill,cluster
4,0
59,0
25,50
53,32
69,31
50,27
36,0
102,0
32,5
77,37
49,0
104,0
70,41
21,2
119,0
47,11
9,3
0,0
121,0
43,7
57,6
87,50
1,28
17,0
28,0
83,0
86,17
94,0
48,51
113,25
45,0
2,29
5,0
6,56
106,58
73,0
42,40
22,0
117,18
85,47
75,0
98,50
41,62
38,54
90,0
105,19
64,45
110,42
39,0
55,60
112,24
100,4
108,51
31,23
52,0
61,12
18,41
101,2
30,15
71,53
122,9
66,20
54,0
109,0
19,42
56,6
84,10
111,61
14,0
80,0
114,41
23,30
7,52
16,0
82,0
8,26
120,48
3,39
11,22
37,50
92,50
58,2
24,34
107,50
13,43
97,36
33,0
44,0
81,49
99,0
103,0
93,41
96,43
116,0
34,13
10,0
76,0
35,63
74,21
20,50
63,0
26,8
12,0
67,0
89,0
95,16
27,55
15,44
115,46
88,59
65,2
79,1
29,0
118,38
62,33
91,14
46,0
68,0
40,57
78,41
60,35
72,0
51,41
