stu,cluster
2918,9
3011,57
258,35
2439,11
1010,48
29,32
1820,2
2751,17
2084,48
1922,49
1478,9
1709,21
831,18
2682,2
2210,43
190,21
968,23
2948,9
3130,49
698,19
148,24
1960,17
1117,2
2895,2
1626,28
2841,31
1827,18
333,42
374,43
230,35
806,2
3054,31
1455,2
1059,2
2420,10
1990,17
1499,45
3129,61
390,23
3187,2
1534,2
2285,50
1668,2
1614,31
849,48
1815,21
277,2
404,43
2023,50
3123,23
3312,39
925,43
2742,2
2929,8
144,3
3084,31
614,38
405,44
82,28
1089,2
2142,43
1872,2
2145,48
2301,36
2574,45
2787,9
2901,31
3089,2
1519,0
135,39
2524,44
1040,2
25,24
986,31
1267,44
2442,11
3153,23
1123,36
497,19
2349,48
2644,2
2213,44
2655,11
1796,21
2164,2
2216,49
834,18
1954,49
1041,2
824,4
906,43
2723,2
3065,31
3273,60
1728,2
701,19
1297,44
2304,18
2511,2
2249,2
1047,18
838,24
1120,2
261,12
421,1
670,31
159,1
1602,11
2768,9
3270,27
2902,9
3061,2
1984,49
2780,19
2423,10
3167,19
979,4
1240,45
626,2
1262,63
2228,36
1985,49
415,47
407,43
2096,2
1101,2
3236,11
651,31
2745,2
1590,50
2879,2
3087,31
180,37
674,14
1721,61
138,40
2828,36
2799,9
96,43
2958,2
3092,2
434,38
633,18
310,2
579,47
2445,11
3156,23
826,4
1054,11
1241,17
268,5
564,4
1126,36
3171,2
1305,38
869,2
1833,14
127,2
188,18
784,43
1601,36
1486,55
2001,6
431,4
1437,50
2316,18
2726,2
3068,31
3322,27
1469,2
704,19
2266,17
2434,10
2486,20
2129,48
2379,43
3073,2
1944,2
1548,2
1521,48
2299,50
1682,2
1286,2
2205,43
2677,2
1420,2
2905,9
69,38
1471,47
1987,49
1703,61
2783,19
2756,2
2353,26
1103,2
262,60
2053,30
454,1
891,2
3213,17
788,26
2801,9
84,59
2915,31
2935,9
1316,2
2276,44
161,13
2495,2
1104,2
1031,18
3239,11
654,31
141,40
2258,31
3264,40
2699,2
3013,49
293,24
1319,48
2003,6
2318,18
2525,2
1323,18
2471,31
2880,50
2263,2
872,2
1186,49
2274,11
1011,17
621,11
453,18
1969,49
1155,61
2342,2
308,45
3294,40
2348,45
2991,2
3125,2
2729,2
2029,36
928,18
1734,2
1472,2
2437,10
878,17
2555,2
2173,49
2293,2
1276,63
2652,20
3276,27
2302,50
3215,17
35,7
1310,61
3155,2
