stu,skill,crtRatio
562,2,0.7368421052631579
2562,122,0.6666666666666666
73,34,0.6
786,95,0.75
1596,47,1.0
230,31,0.8823529411764706
26,71,1.0
241,39,1.0
464,31,0.7777777777777778
3266,0,0.6666666666666666
3011,9,0.8
599,64,0.7272727272727273
427,44,0.45454545454545453
2032,69,0.9090909090909091
475,63,1.0
3258,120,0.52
2951,43,0.25
329,96,0.0
183,47,0.8518518518518519
241,91,0.5714285714285714
431,112,0.8823529411764706
137,56,0.8
447,31,0.7777777777777778
349,6,0.75
205,57,0.23809523809523808
3308,66,1.0
2623,122,0.5
3319,110,1.0
227,47,1.0
798,39,1.0
550,86,0.25
287,3,0.6666666666666666
874,95,0.8125
3311,74,1.0
3321,26,0.8
3278,89,0.0
9,100,1.0
85,22,0.25
98,116,0.5
199,120,0.5
700,43,1.0
73,50,0.0
332,6,0.75
138,121,0.3333333333333333
3308,96,1.0
3298,40,1.0
94,22,0.0
1486,4,1.0
3302,110,1.0
2035,43,1.0
1813,113,0.0
3059,122,1.0
97,71,1.0
1153,117,0.72
3309,84,0.8
105,2,1.0
557,119,0.6923076923076923
328,100,0.0
3281,40,1.0
2073,114,0.5294117647058824
2414,112,0.55
287,63,0.6666666666666666
93,31,1.0
832,32,0.9166666666666666
198,105,1.0
1068,100,0.6666666666666666
420,6,0.75
878,97,0.0
877,34,0.125
2916,11,0.5
3278,62,1.0
300,56,0.0
105,32,1.0
136,77,0.8571428571428571
153,91,0.6666666666666666
261,69,0.6666666666666666
2606,95,1.0
724,84,0.6666666666666666
80,101,1.0
3294,6,1.0
759,30,0.75
3261,62,1.0
3131,9,0.75
2092,100,0.09090909090909091
2123,32,0.0
88,32,1.0
100,81,0.3333333333333333
437,31,0.8461538461538461
2143,34,0.5384615384615384
1552,69,0.0
194,95,1.0
285,2,0.75
906,9,1.0
2480,55,1.0
3277,6,1.0
884,112,0.8666666666666667
246,120,0.8888888888888888
2154,26,0.8
768,95,1.0
149,81,0.6666666666666666
41,91,0.7142857142857143
109,34,1.0
2353,57,1.0
949,97,0.0625
2463,55,1.0
30,62,0.6
